COMID,StreamOrde,Roughness
3154731,0,
3154729,0,
3154741,0,
3154785,0,
3154777,0,
3154739,0,
3154743,0,
3154737,0,
3154779,0,
3154759,0,
3154745,0,
3154757,0,
3154747,0,
3154763,0,
3154721,0,
3154791,0,
3154719,0,
3154711,0,
3154709,0,
3162855,0,
3162939,0,
3162837,0,
3162831,0,
3162849,0,
3162847,0,
3162851,0,
3162853,0,
3162835,0,
3162827,0,
3162823,0,
3162821,0,
3162805,0,
3162809,0,
3162813,0,
3162825,0,
3162815,0,
3162817,0,
3162833,0,
3162845,0,
3162819,0,
3162829,0,
3162839,0,
3162915,0,
3162917,0,
3162919,0,
3162725,0,
3162857,0,
3162861,0,
3162727,0,
3162729,0,
3162731,0,
3162733,0,
3162735,0,
3162737,0,
3162739,0,
3162741,0,
3162743,0,
3162745,0,
3162747,0,
3162749,0,
3162751,0,
3162753,0,
3162755,0,
3162757,0,
3162759,0,
3162761,0,
3162763,0,
3162765,0,
3162767,0,
3162769,0,
3162771,0,
3162859,0,
3162863,0,
3162867,0,
3162869,0,
3162871,0,
3162873,0,
3162875,0,
3162877,0,
3162879,0,
3162881,0,
3162883,0,
3162885,0,
3162887,0,
3162889,0,
3162891,0,
3162893,0,
3162895,0,
3162897,0,
3162899,0,
3162901,0,
3162903,0,
3162905,0,
3162907,0,
3162909,0,
3162911,0,
3162913,0,
3162921,0,
3162935,0,
3164605,0,
3164611,0,
3164613,0,
3164615,0,
3164617,0,
3164619,0,
3164621,0,
3164623,0,
3164625,0,
3164627,0,
3164629,0,
3164631,0,
3164633,0,
3164635,0,
3164637,0,
3164639,0,
3164641,0,
3164643,0,
3162865,0,
3154723,0,
3154725,0,
3154727,0,
3154789,0,
3154691,0,
3154703,0,
3154705,0,
3154701,0,
3154707,0,
3154697,0,
3154693,0,
3154695,0,
3154699,0,
3154713,0,
3154715,0,
3154717,0,
3160501,1,0.2
3160503,1,0.2
3160505,1,0.2
3160641,1,0.2
3159665,1,0.2
3160515,1,0.2
3162801,2,0.1
3162723,2,0.1
3164971,0,
3162803,0,
3160567,0,
3160531,0,
3162807,0,
3164963,0,
3162811,0,
3162841,0,
3162843,0,
3160549,0,
3160513,0,
3160529,0,
3160551,0,
3160561,0,
3160559,0,
3160511,0,
3160547,0,
3160507,0,
3160519,0,
3160553,0,
3160517,0,
3160509,0,
3160557,0,
3160565,0,
3160521,0,
3160525,0,
3160527,0,
3160555,0,
3160563,0,
3160523,0,
3160571,0,
3160633,0,
3160647,0,
3160569,0,
3164505,0,
3160541,0,
3160543,0,
3160599,0,
3164509,0,
3160545,0,
3160597,0,
3160625,0,
3160537,0,
3160585,0,
3160587,0,
3160589,0,
3160591,0,
3160533,0,
3160579,0,
3160583,0,
3160595,0,
3160581,0,
3160609,0,
3160615,0,
3160619,0,
3160601,0,
3160603,0,
3160605,0,
3160607,0,
3160617,0,
3160621,0,
3160613,0,
3160575,0,
3160535,0,
3160573,0,
3160645,0,
3164499,0,
3164507,0,
3160577,0,
3160611,0,
3160623,0,
3164513,0,
3160627,0,
3160593,0,
3160643,0,
3164519,0,
3164523,0,
3160539,0,
3164531,0,
3164553,0,
3164555,0,
3164527,0,
3164539,0,
3164549,0,
3164557,0,
3164537,0,
3164503,0,
3164511,0,
3164515,0,
3164529,0,
3164547,0,
3164501,0,
3164543,0,
3164517,0,
3164521,0,
3164535,0,
3164551,0,
3160629,0,
3160631,0,
3164525,0,
3164533,0,
3164545,0,
3164541,0,
3164967,0,
3164969,0,
3164607,0,
